n_imp,fullname,des,v_inf,ps_max,ip,range,ts_max,diameter,h,last_obs_jd,ps_cum,id,last_obs
15,(2017 QU34),2017 QU34,14.4849389712147,-6.79,1.1975988e-05,2083-2114,0,0.0072,28.35,2457996.5,-6.55,bK17Q34U,2017-08-31
2,(2018 GG4),2018 GG4,16.6459783931092,-7.17,2.0549e-07,2058-2070,0,0.02,26.19,2458232.5,-6.99,bK18G04G,2018-04-24
17,(2009 YR),2009 YR,3.11571090222075,-6.84,1.2249807e-05,2060-2114,0,0.0085,28.00,2455190.5,-6.51,bK09Y00R,2009-12-25
1,(2021 PA15),2021 PA15,8.95,-7.19,5.214e-07,2114-2114,0,0.02,26.17,2459472.5,-7.19,bK21P15A,2021-09-15
139,(2010 KV7),2010 KV7,5.36935408173157,-4.99,4.06682831e-05,2034-2122,0,0.021,26.04,2455336.5,-4.70,bK10K07V,2010-05-20
2,(2021 LC4),2021 LC4,15.249467162239,-7.26,4.10031e-07,2112-2122,0,0.018,26.42,2459377.5,-7.26,bK21L04C,2021-06-12
52,(2022 YC),2022 YC,4.80522605598986,-7.94,1.12020323e-05,2056-2121,0,0.0043,29.47,2459930.5,-7.35,bK22Y00C,2022-12-17
1,(2021 EZ3),2021 EZ3,8.33,-7.90,3.736e-08,2111-2111,0,0.03,25.25,2459339.5,-7.90,bK21E03Z,2021-05-05
70,(2010 RF12),2010 RF12,5.10001588137266,-2.97,0.102637259069,2095-2122,0,0.0071,28.39,2459815.5,-2.97,bK10R12F,2022-08-24
114,(2010 XN69),2010 XN69,7.30211201362035,-6.09,3.17590717e-05,2039-2122,0,0.019,26.26,2455546.5,-5.22,bK10X69N,2010-12-16
19,(2012 MF7),2012 MF7,8.70117483784859,-4.47,0.0001607253471,2046-2104,0,0.015,26.84,2456130.5,-4.43,bK12M07F,2012-07-22
33,(2013 PG10),2013 PG10,6.8654019689795,-6.55,9.515386e-06,2056-2122,0,0.0096,27.73,2456515.5,-6.42,bK13P10G,2013-08-11
87,(2015 KG158),2015 KG158,7.6931042791318,-5.36,0.0003255604023,2045-2122,0,0.0074,28.30,2457166.5,-5.22,bK15KF8G,2015-05-24
6,(2015 KH160),2015 KH160,29.8876727463744,-7.88,4.03583e-08,2087-2117,0,0.018,26.39,2457169.5,-7.72,bK15KG0H,2015-05-27
1,(2016 CO248),2016 CO248,5.07,-9.51,9.452e-09,2086-2086,0,0.011,27.51,2457457.5,-9.51,bK16CO8O,2016-03-10
10,(2016 TQ54),2016 TQ54,9.00024891979062,-7.50,1.8043724e-06,2082-2120,0,0.012,27.25,2457671.5,-7.12,bK16T54Q,2016-10-10
1,(2012 XL134),2012 XL134,8.66,-10.62,8.957e-10,2089-2089,0,0.0092,27.84,2456275.5,-10.62,bK12XD4L,2012-12-14
9,(2000 SZ162),2000 SZ162,4.14677388674278,-7.32,2.21849e-06,2070-2120,0,0.013,27.10,2451824.5,-6.94,bK00SG2Z,2000-10-07
25,(2014 CR13),2014 CR13,12.2904047063975,-4.73,8.732454e-05,2102-2117,0,0.024,25.74,2456726.5,-4.62,bK14C13R,2014-03-10
7,(2024 WS),2024 WS,10.9801869690544,-6.43,3.570163e-06,2099-2120,0,0.017,26.52,2460645.5,-6.40,bK24W00S,2024-12-01
156,(2021 EJ3),2021 EJ3,2.1557250139037,-5.35,0.0006464105,2078-2122,0,0.0098,27.69,2459290.5,-4.93,bK21E03J,2021-03-17
1,(2008 BE15),2008 BE15,18.05,-8.98,7.201e-10,2102-2102,0,0.04,24.66,2454499.5,-8.98,bK08B15E,2008-02-03
