des,diameter,fullname,h,id,ip,last_obs,last_obs_jd,n_imp,ps_cum,ps_max,range,ts_max,v_inf
2022 GU3,0.026,(2022 GU3),25.59,bK22G03U,7.073907e-06,2022-05-04,2459703.5,4,-5.77,-5.78,2109-2116,0,8.40051619706055
2006 QN111,0.06,(2006 QN111),23.77,bK06QB1N,1.931e-06,2006-09-03,2453981.5,1,-5.20,-5.20,2079-2079,0,10.55
2006 BO7,0.0047,(2006 BO7),29.31,bK06B07O,9.736e-07,2006-01-24,2453759.5,2,-8.04,-8.23,2060-2067,0,9.8268714050945
2016 LE10,0.013,(2016 LE10),27.10,bK16L10E,3.8642e-07,2016-06-09,2457548.5,3,-7.22,-7.52,2035-2072,0,12.6309981367424
2017 QM33,0.0096,(2017 QM33),27.74,bK17Q33M,1.388231e-05,2017-08-30,2457995.5,9,-6.08,-6.12,2084-2103,0,17.6161809309834
2024 QP2,0.17,(2024 QP2),21.52,bK24Q02P,8.020e-07,2025-03-23,2460757.5,1,-4.74,-4.74,2111-2111,0,9.53
2018 GS3,0.024,(2018 GS3),25.78,bK18G03S,5.235e-07,2018-04-20,2458228.5,1,-6.70,-6.70,2119-2119,0,19.99
2011 BF40,0.037,(2011 BF40),24.84,bK11B40F,1.243e-06,2011-02-03,2455595.5,1,-5.70,-5.70,2083-2083,0,18.50
2011 BP40,0.0276,(2011 BP40),25.45,bK11B40P,1.7299071e-06,2011-02-04,2455596.5,29,-5.78,-6.19,2031-2119,0,3.45759326497937
2013 RR43,0.028,(2013 RR43),25.40,bK13R43R,9.5921e-08,2013-09-24,2456559.5,5,-6.76,-7.04,2039-2091,0,19.0435734614944
2016 SX1,0.0067,(2016 SX1),28.50,bK16S01X,3.712e-07,2016-10-01,2457662.5,1,-8.63,-8.63,2119-2119,0,2.70
2015 HL182,0.094,(2015 HL182),22.77,bK15HI2L,6.568e-09,2015-04-22,2457134.5,1,-6.86,-6.86,2077-2077,0,21.27
2015 RD36,0.1,(2015 RD36),22.55,bK15R36D,1.171e-08,2015-10-07,2457302.5,1,-6.34,-6.34,2099-2099,0,36.46
2015 YM1,0.0072,(2015 YM1),28.36,bK15Y01M,8.72363e-06,2016-01-07,2457394.5,15,-7.01,-7.18,2095-2122,0,6.81214121873578
2014 WR362,0.012,(2014 WR362),27.29,bK14Wa2R,5.454e-08,2014-11-27,2456988.5,1,-8.38,-8.38,2078-2078,0,12.07
2015 FH37,0.036,(2015 FH37),24.86,bK15F37H,1.0607e-08,2015-03-26,2457107.5,2,-7.93,-8.03,2078-2113,0,18.3047572357877
2018 XF2,0.019,(2018 XF2),26.23,bK18X02F,1.4018e-06,2019-01-11,2458494.5,2,-6.78,-7.02,2119-2119,0,9.90586959623342
2005 WY,0.013,(2005 WY),27.15,bK05W00Y,4.093e-09,2005-11-27,2453701.5,2,-9.42,-9.46,2060-2107,0,8.13627168336184
2019 BX1,0.0081,(2019 BX1),28.12,bK19B01X,3.80088e-06,2019-02-05,2458519.5,7,-7.23,-7.58,2067-2120,0,3.8948827113721
2017 FL64,0.0065,(2017 FL64),28.59,bK17F64L,4.766e-06,2017-04-01,2457844.5,1,-7.57,-7.57,2118-2118,0,2.43
2009 CZ1,0.044,(2009 CZ1),24.42,bK09C01Z,9.87423e-07,2009-02-05,2454867.5,3,-5.45,-5.68,2058-2111,0,17.8765610786866
1993 HP1,0.014,(1993 HP1),26.96,bJ93H01P,5.586e-08,1993-04-27,2449104.5,2,-8.41,-8.61,2065-2112,0,9.73497672753312
2012 BU1,0.0098,(2012 BU1),27.69,bK12B01U,4.83525016e-05,2012-01-25,2455951.5,34,-5.88,-6.36,2069-2121,0,8.96469816874997
